CityType,EmployeeName,Date,Amount
Moderately Expensive City,Ebenezer Graham,1/3/2011,28.41
Expensive City,William Babbington,1/3/2011,117.36
Expensive City,Diana Villiers,1/4/2011,76.39
Inexpensive City,Sophia Aubrey,1/4/2011,13.86
Expensive City,William Babbington,1/4/2011,73.13
Inexpensive City,Clarissa Oakes,1/5/2011,23.01
Inexpensive City,Nathaniel Martin,1/5/2011,22.15
Moderately Expensive City,Nathaniel Martin,1/5/2011,34.98
Moderately Expensive City,Stephen Maturin,1/5/2011,40.42
Inexpensive City,Ebenezer Graham,1/6/2011,25.93
Moderately Expensive City,Ebenezer Graham,1/6/2011,20.42
Moderately Expensive City,Emily Sweeting,1/6/2011,67.58
Expensive City,Sophia Aubrey,1/6/2011,94.47
Moderately Expensive City,Molly Harte,1/7/2011,28.29
Inexpensive City,William Babbington,1/7/2011,15.64
Expensive City,William Mowett,1/7/2011,112.82
Expensive City,Clarissa Oakes,1/10/2011,61.76
Expensive City,Diana Villiers,1/10/2011,105.67
Expensive City,Molly Harte,1/10/2011,104.7
Inexpensive City,Stephen Maturin,1/10/2011,24.8
Moderately Expensive City,Barret Bonden,1/11/2011,40.49
Expensive City,Sophia Aubrey,1/11/2011,90.31
Inexpensive City,Stephen Maturin,1/11/2011,25.46
Inexpensive City,Diana Villiers,1/12/2011,19.06
Moderately Expensive City,Diana Villiers,1/12/2011,63.81
Inexpensive City,Ebenezer Graham,1/12/2011,19.8
Expensive City,Sophia Aubrey,1/12/2011,88.75
Inexpensive City,William Mowett,1/12/2011,20.66
Expensive City,Clarissa Oakes,1/13/2011,66.72
Inexpensive City,Diana Villiers,1/13/2011,33.11
Moderately Expensive City,Diana Villiers,1/13/2011,37.6
Expensive City,Nathaniel Martin,1/13/2011,70.28
Expensive City,Barret Bonden,1/14/2011,89.49
Expensive City,Ebenezer Graham,1/14/2011,87.29
Expensive City,Emily Sweeting,1/14/2011,113.06
Inexpensive City,Emily Sweeting,1/14/2011,28.37
Moderately Expensive City,Molly Harte,1/14/2011,59.07
Inexpensive City,Barret Bonden,1/18/2011,28.77
Inexpensive City,Ebenezer Graham,1/18/2011,28.51
Moderately Expensive City,Ebenezer Graham,1/18/2011,36.36
Expensive City,Jack Aubrey,1/18/2011,79.89
Moderately Expensive City,Nathaniel Martin,1/18/2011,33.29
Inexpensive City,Nathaniel Martin,1/18/2011,21.06
Moderately Expensive City,Sophia Aubrey,1/18/2011,26.41
Inexpensive City,Clarissa Oakes,1/19/2011,23.17
Moderately Expensive City,Ebenezer Graham,1/19/2011,41.67
Inexpensive City,Jack Aubrey,1/19/2011,21.01
Inexpensive City,Diana Villiers,1/21/2011,18.3
Inexpensive City,Ebenezer Graham,1/21/2011,19.75
Inexpensive City,Nathaniel Martin,1/21/2011,28.73
Expensive City,Stephen Maturin,1/21/2011,116.84
Moderately Expensive City,Ebenezer Graham,1/24/2011,25.74
Expensive City,Emily Sweeting,1/24/2011,83.92
Expensive City,Jack Aubrey,1/24/2011,52.09
Expensive City,Stephen Maturin,1/24/2011,93.91
Expensive City,William Mowett,1/24/2011,107.45
Expensive City,Jack Aubrey,1/25/2011,83.29
Moderately Expensive City,William Mowett,1/25/2011,41.19
Inexpensive City,Ebenezer Graham,1/26/2011,26.54
Inexpensive City,Jack Aubrey,1/26/2011,18.95
Inexpensive City,Sophia Aubrey,1/26/2011,23.19
Moderately Expensive City,Barret Bonden,1/27/2011,41.12
Moderately Expensive City,Ebenezer Graham,1/27/2011,52.23
Inexpensive City,Ebenezer Graham,1/27/2011,17.85
Expensive City,Emily Sweeting,1/27/2011,97.88
Inexpensive City,William Mowett,1/27/2011,23.59
Moderately Expensive City,Clarissa Oakes,1/28/2011,46.43
Inexpensive City,William Babbington,1/28/2011,21.4
Inexpensive City,Barret Bonden,1/31/2011,12.59
Inexpensive City,Diana Villiers,1/31/2011,24.62
Inexpensive City,Stephen Maturin,1/31/2011,28.93
Expensive City,Jack Aubrey,2/1/2011,71.62
Expensive City,Nathaniel Martin,2/1/2011,118.63
Expensive City,Emily Sweeting,2/3/2011,61.76
Inexpensive City,William Babbington,2/3/2011,28.57
Inexpensive City,William Mowett,2/3/2011,23.21
Moderately Expensive City,Barret Bonden,2/4/2011,43.15
Moderately Expensive City,Sophia Aubrey,2/4/2011,23.59
Expensive City,Stephen Maturin,2/4/2011,80.7
Expensive City,William Babbington,2/4/2011,80.92
Moderately Expensive City,William Babbington,2/4/2011,17.14
Inexpensive City,William Babbington,2/4/2011,22.28
Inexpensive City,William Mowett,2/4/2011,19.99
Expensive City,Barret Bonden,2/7/2011,71.09
Moderately Expensive City,Ebenezer Graham,2/7/2011,40.8
Moderately Expensive City,Jack Aubrey,2/7/2011,38.31
Moderately Expensive City,Molly Harte,2/7/2011,34.7
Expensive City,Nathaniel Martin,2/7/2011,131.53
Moderately Expensive City,Stephen Maturin,2/7/2011,29.72
Inexpensive City,Diana Villiers,2/8/2011,22.99
Moderately Expensive City,Ebenezer Graham,2/8/2011,23.04
Inexpensive City,Jack Aubrey,2/8/2011,26.72
Expensive City,Molly Harte,2/8/2011,115.69
Moderately Expensive City,Clarissa Oakes,2/9/2011,49.43
Moderately Expensive City,Ebenezer Graham,2/9/2011,38.92
Inexpensive City,Jack Aubrey,2/9/2011,32.09
Inexpensive City,Stephen Maturin,2/9/2011,26.03
Expensive City,William Babbington,2/9/2011,114.64
Expensive City,Diana Villiers,2/10/2011,111.17
Inexpensive City,Sophia Aubrey,2/10/2011,29.81
Expensive City,William Mowett,2/10/2011,67.16
Moderately Expensive City,Clarissa Oakes,2/11/2011,36.7
Expensive City,Jack Aubrey,2/11/2011,70.3
Inexpensive City,Nathaniel Martin,2/11/2011,26.02
Inexpensive City,William Mowett,2/11/2011,29.37
Inexpensive City,Ebenezer Graham,2/15/2011,26.06
Moderately Expensive City,Jack Aubrey,2/15/2011,19.52
Expensive City,Jack Aubrey,2/15/2011,99.56
Inexpensive City,William Mowett,2/15/2011,26.61
Expensive City,Clarissa Oakes,2/16/2011,81.36
Inexpensive City,Diana Villiers,2/16/2011,22.07
Expensive City,Jack Aubrey,2/16/2011,109.27
Expensive City,William Mowett,2/16/2011,88.89
Expensive City,Clarissa Oakes,2/17/2011,83.71
Moderately Expensive City,Ebenezer Graham,2/17/2011,48.22
Moderately Expensive City,William Babbington,2/17/2011,30.46
Moderately Expensive City,Diana Villiers,2/18/2011,31.63
Expensive City,Diana Villiers,2/18/2011,80.94
Inexpensive City,Nathaniel Martin,2/18/2011,23.14
Inexpensive City,William Babbington,2/18/2011,31.13
Inexpensive City,William Mowett,2/18/2011,19.53
Moderately Expensive City,Barret Bonden,2/23/2011,37.58
Inexpensive City,Clarissa Oakes,2/23/2011,15.78
Expensive City,Ebenezer Graham,2/23/2011,65.25
Expensive City,Jack Aubrey,2/23/2011,99.91
Expensive City,Molly Harte,2/23/2011,73.04
Inexpensive City,William Mowett,2/23/2011,22.51
Moderately Expensive City,Clarissa Oakes,2/24/2011,31.15
Expensive City,Clarissa Oakes,2/24/2011,131.55
Inexpensive City,Diana Villiers,2/24/2011,25.19
Expensive City,Ebenezer Graham,2/24/2011,112.74
Inexpensive City,Jack Aubrey,2/24/2011,26.62
Expensive City,Jack Aubrey,2/24/2011,113.35
Inexpensive City,Diana Villiers,2/25/2011,26.97
Inexpensive City,Jack Aubrey,2/25/2011,26.39
Moderately Expensive City,Molly Harte,2/25/2011,51.64
Moderately Expensive City,Nathaniel Martin,2/25/2011,34.36
Moderately Expensive City,Stephen Maturin,2/25/2011,27.2
Inexpensive City,William Mowett,2/25/2011,23.39
Inexpensive City,Ebenezer Graham,2/28/2011,23.96
Moderately Expensive City,Jack Aubrey,2/28/2011,51.98
Moderately Expensive City,Molly Harte,2/28/2011,40.82
Moderately Expensive City,William Mowett,2/28/2011,37.93
Inexpensive City,Barret Bonden,3/1/2011,19.12
Moderately Expensive City,Ebenezer Graham,3/1/2011,63.6
Expensive City,Emily Sweeting,3/1/2011,93.98
Moderately Expensive City,Clarissa Oakes,3/2/2011,39.3
Inexpensive City,Molly Harte,3/2/2011,15.34
Moderately Expensive City,Diana Villiers,3/3/2011,21.68
Expensive City,Ebenezer Graham,3/3/2011,85.2
Moderately Expensive City,William Mowett,3/3/2011,52.52
Moderately Expensive City,Barret Bonden,3/4/2011,42.51
Inexpensive City,Clarissa Oakes,3/4/2011,18.37
Expensive City,Diana Villiers,3/4/2011,97.68
Inexpensive City,Jack Aubrey,3/4/2011,20.93
Moderately Expensive City,Molly Harte,3/4/2011,51.44
Moderately Expensive City,Nathaniel Martin,3/4/2011,29.74
Moderately Expensive City,William Babbington,3/4/2011,27.89
Expensive City,William Babbington,3/4/2011,65.57
Inexpensive City,Barret Bonden,3/7/2011,14.68
Moderately Expensive City,Clarissa Oakes,3/7/2011,41.48
Expensive City,Emily Sweeting,3/7/2011,120.54
Inexpensive City,Stephen Maturin,3/7/2011,19.02
Expensive City,Diana Villiers,3/10/2011,42.82
Expensive City,Emily Sweeting,3/10/2011,33.42
Expensive City,Stephen Maturin,3/10/2011,95.1
Inexpensive City,Ebenezer Graham,3/11/2011,28.61
Moderately Expensive City,Emily Sweeting,3/11/2011,41.84
Expensive City,Emily Sweeting,3/11/2011,70.72
Moderately Expensive City,William Mowett,3/11/2011,31.03
Moderately Expensive City,Barret Bonden,3/14/2011,50.32
Inexpensive City,Diana Villiers,3/14/2011,25.14
Expensive City,Molly Harte,3/14/2011,72.58
Expensive City,Sophia Aubrey,3/14/2011,83.08
Inexpensive City,Stephen Maturin,3/14/2011,26.99
Moderately Expensive City,Stephen Maturin,3/14/2011,37.63
Moderately Expensive City,William Babbington,3/14/2011,36.7
Inexpensive City,Emily Sweeting,3/15/2011,12.39
Inexpensive City,Stephen Maturin,3/15/2011,29.54
Moderately Expensive City,Ebenezer Graham,3/16/2011,33.36
Inexpensive City,Emily Sweeting,3/16/2011,26.95
Moderately Expensive City,Sophia Aubrey,3/16/2011,30.59
Moderately Expensive City,Diana Villiers,3/18/2011,43.46
Inexpensive City,Jack Aubrey,3/18/2011,28.65
Inexpensive City,Molly Harte,3/18/2011,28.23
Expensive City,Molly Harte,3/18/2011,104.17
Moderately Expensive City,Stephen Maturin,3/18/2011,44.18
Expensive City,Stephen Maturin,3/18/2011,112.25
Expensive City,William Babbington,3/18/2011,96.07
Moderately Expensive City,William Mowett,3/18/2011,42.86
Inexpensive City,William Mowett,3/18/2011,27.55
Moderately Expensive City,Clarissa Oakes,3/21/2011,49.94
Expensive City,Diana Villiers,3/21/2011,87.33
Moderately Expensive City,Nathaniel Martin,3/21/2011,36.02
Expensive City,Nathaniel Martin,3/21/2011,102.73
Moderately Expensive City,Emily Sweeting,3/22/2011,53.68
Expensive City,Jack Aubrey,3/22/2011,93.66
Inexpensive City,Jack Aubrey,3/22/2011,17.71
Moderately Expensive City,Molly Harte,3/24/2011,44.37
Expensive City,Molly Harte,3/24/2011,87.28
Expensive City,Stephen Maturin,3/24/2011,65.15
Inexpensive City,Ebenezer Graham,3/25/2011,15.28
Expensive City,Emily Sweeting,3/25/2011,62.48
Moderately Expensive City,Nathaniel Martin,3/25/2011,29.21
Inexpensive City,Nathaniel Martin,3/28/2011,25.67
Moderately Expensive City,Sophia Aubrey,3/28/2011,34.97
Moderately Expensive City,Diana Villiers,3/29/2011,14.37
Expensive City,Jack Aubrey,3/29/2011,99.38
Expensive City,Molly Harte,3/29/2011,70.83
Expensive City,Nathaniel Martin,3/29/2011,93.04
Moderately Expensive City,Nathaniel Martin,3/29/2011,28.91
Moderately Expensive City,Sophia Aubrey,3/29/2011,38.44
Inexpensive City,Emily Sweeting,3/30/2011,30.35
Inexpensive City,Jack Aubrey,3/30/2011,26.54
Inexpensive City,Stephen Maturin,3/30/2011,24.64
Inexpensive City,William Mowett,3/30/2011,25.94
Inexpensive City,Clarissa Oakes,3/31/2011,24.65
Inexpensive City,Emily Sweeting,3/31/2011,23.19
Inexpensive City,William Babbington,3/31/2011,23.61
Moderately Expensive City,William Mowett,3/31/2011,35.63
Moderately Expensive City,Ebenezer Graham,4/1/2011,39.32
Inexpensive City,Stephen Maturin,4/1/2011,15.92
Moderately Expensive City,William Babbington,4/1/2011,45.54
Expensive City,William Mowett,4/1/2011,75.34
Expensive City,Clarissa Oakes,4/4/2011,106.11
Inexpensive City,Diana Villiers,4/4/2011,11.43
Moderately Expensive City,Ebenezer Graham,4/4/2011,43.35
Moderately Expensive City,Emily Sweeting,4/4/2011,39
Inexpensive City,Molly Harte,4/4/2011,27.51
Expensive City,Nathaniel Martin,4/4/2011,100
Expensive City,Sophia Aubrey,4/4/2011,79.52
Expensive City,William Babbington,4/4/2011,114.06
Inexpensive City,Barret Bonden,4/5/2011,19.7
Inexpensive City,Clarissa Oakes,4/5/2011,21.84
Moderately Expensive City,Jack Aubrey,4/5/2011,48.62
Inexpensive City,Jack Aubrey,4/5/2011,23.25
Moderately Expensive City,Molly Harte,4/5/2011,48.65
